artist name,title,country,year,ref,url
"Salvatore Zofrea","The death of my grandfather (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.26, https://www.artgallery.nsw.gov.au/collection/works/68.2000.26/, 0
"Salvatore Zofrea","Christmas Eve - shepherds with pipes (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.30, https://www.artgallery.nsw.gov.au/collection/works/68.2000.30/, 0
"Salvatore Zofrea","Harvesting olives (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.27, https://www.artgallery.nsw.gov.au/collection/works/68.2000.27/, 0
"Salvatore Zofrea","Crushing olive oil (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.28, https://www.artgallery.nsw.gov.au/collection/works/68.2000.28/, 0
"Salvatore Zofrea","Collecting firewood at Christmas (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.29, https://www.artgallery.nsw.gov.au/collection/works/68.2000.29/, 0
"Salvatore Zofrea","Christmas presents from America (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.31, https://www.artgallery.nsw.gov.au/collection/works/68.2000.31/, 0
"Salvatore Zofrea","Killing the pig for salami (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.32, https://www.artgallery.nsw.gov.au/collection/works/68.2000.32/, 0
"Salvatore Zofrea","The beginning of Lent (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.33, https://www.artgallery.nsw.gov.au/collection/works/68.2000.33/, 0
"Salvatore Zofrea","The last supper at my mother's house (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.34, https://www.artgallery.nsw.gov.au/collection/works/68.2000.34/, 0
"Salvatore Zofrea","Holy Week (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.35, https://www.artgallery.nsw.gov.au/collection/works/68.2000.35/, 0
"Salvatore Zofrea","Easter Sunday - the Resurrection (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.36, https://www.artgallery.nsw.gov.au/collection/works/68.2000.36/, 0
"Salvatore Zofrea","Easter Monday - the picnic at my grandfather's ... (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.37, https://www.artgallery.nsw.gov.au/collection/works/68.2000.37/, 0
"Salvatore Zofrea","St Gregorio's fair (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.38, https://www.artgallery.nsw.gov.au/collection/works/68.2000.38/, 0
"Salvatore Zofrea","The circus in Borgia (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.39, https://www.artgallery.nsw.gov.au/collection/works/68.2000.39/, 0
"Salvatore Zofrea","Children's games (1994-1999)","Australia","1994-1999","Gift of the artist 2000",68.2000.40, https://www.artgallery.nsw.gov.au/collection/works/68.2000.40/, 0
"Gaetano Zompiniafter Giovanni Benedetto Castiglione","Caprices and landscapes (1758-1759)","Italy","1758-1759","Gift of Mr and Mrs A.H. Varcoe 1965",DO22.1965.a-m, https://www.artgallery.nsw.gov.au/collection/works/DO22.1965.a-m/, 0
"Anders Leonard Zorn","Wet (1911)","Sweden","1911","Purchased 1913",450, https://www.artgallery.nsw.gov.au/collection/works/450/, 0
"Anders Leonard Zorn","Gulli II (1918)","Sweden","1918","Purchased 1924",451, https://www.artgallery.nsw.gov.au/collection/works/451/, 0
"Anders Leonard Zorn","The fisherman, St Ives, Cornwall (1891)","Sweden","1891","Purchased 1900",452, https://www.artgallery.nsw.gov.au/collection/works/452/, 0
"Anders Leonard Zorn","Portrait of Ernest Renan (1892)","Sweden","1892","Purchased 1929",453, https://www.artgallery.nsw.gov.au/collection/works/453/, 0
"Anders Leonard Zorn","Dal River (1919)","Sweden","1919","Sir Philip Street Bequest 1939",6861, https://www.artgallery.nsw.gov.au/collection/works/6861/, 0
"Anders Leonard Zorn","Mrs. Potter Palmer (1896)","Sweden","1896","Purchased 1938",6779, https://www.artgallery.nsw.gov.au/collection/works/6779/, 0
"Anders Leonard Zorn","Frida (1914)","Sweden","1914","Gift of Mrs M.T. Elwell 1994",178.1994, https://www.artgallery.nsw.gov.au/collection/works/178.1994/, 0
"Francesco Zuccarelli","Landscape","Italy","NOT FOUND","Purchased 1950",8487, https://www.artgallery.nsw.gov.au/collection/works/8487/, 0
"Taddeo Zuccaro","Coronation of Paul III (circa 1563)","Italy","circa 1563","Gift of Mrs Carvick Webster 1926",479, https://www.artgallery.nsw.gov.au/collection/works/479/, 0
"Zumin, Markham Valley, Morobe Province, Papua New Guinea","Pot","NOT FOUND","NOT FOUND","Gift of Jean Moriarty 1979",484.1979, https://www.artgallery.nsw.gov.au/collection/works/484.1979/, 0
"Zumin, Markham Valley, Morobe Province, Papua New Guinea","Cooking pot (mid 20th century)","NOT FOUND","mid 20th century","Gift of Jean Moriarty 1979",468.1979, https://www.artgallery.nsw.gov.au/collection/works/468.1979/, 0
"Zumin, Markham Valley, Morobe Province, Papua New Guinea","Pot (mid 20th century, collected 1968)","NOT FOUND","mid 20th century collected 1968","Gift of Jean Moriarty 1979",469.1979, https://www.artgallery.nsw.gov.au/collection/works/469.1979/, 0
"Zumin, Markham Valley, Morobe Province, Papua New Guinea","Double cup (collected 1968)","NOT FOUND","collected 1968","Gift of Stan Moriarty 1977",571.1979, https://www.artgallery.nsw.gov.au/collection/works/571.1979/, 0
"Zumin, Markham Valley, Morobe Province, Papua New Guinea","Pot support (collected 1968)","NOT FOUND","collected 1968","Gift of Stan Moriarty 1977",842.1979.3, https://www.artgallery.nsw.gov.au/collection/works/842.1979.3/, 0
